adult,gender,id,known_for_department,name,original_name,popularity,profile_path,cast_id,character,credit_id,order
False,2,2282,Acting,Ben Kingsley,Ben Kingsley,18.23,/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg,15,Itzhak Stern,52fe4242c3a36847f801029d,1
False,2,5469,Acting,Ralph Fiennes,Ralph Fiennes,40.218,/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg,16,Amon Goeth,52fe4242c3a36847f80102a1,2
False,1,6692,Acting,Caroline Goodall,Caroline Goodall,13.931,/4cagGtMqACvkuw6Llq8Li8UJ1AR.jpg,17,Emilie Schindler,52fe4242c3a36847f80102a5,3
False,2,6693,Acting,Jonathan Sagall,Jonathan Sagall,8.478,/waxNDsgfw7CXXO3LH8EdKi8z7VV.jpg,18,Poldek Pfefferberg,52fe4242c3a36847f80102a9,4
False,1,6368,Acting,Embeth Davidtz,Embeth Davidtz,20.898,/nwsdu9lOsKJ5v9RwOCc7kAiuxSO.jpg,19,Helen Hirsch,52fe4242c3a36847f80102ad,5
False,1,6694,Acting,Malgorzata Gebel,Malgorzata Gebel,3.527,/svp3UfxWkJGuFWq5REZdwp8o91z.jpg,20,Viktoria Klonowska,52fe4242c3a36847f80102b1,6
False,1,19587,Acting,Rumi Hiiragi,Rumi Hiiragi,4.119,/zITaVtFyc4xSM3mxSoPRWHbqgJI.jpg,3,Chihiro Ogino / Sen (voice),52fe421bc3a36847f8004a97,0
False,2,19588,Acting,Miyu Irino,Miyu Irino,4.602,/dcZ4IJX8CBcJzxy8hhKFXv59LDE.jpg,4,Haku (voice),52fe421bc3a36847f8004a9b,1
False,1,19589,Acting,Mari Natsuki,Mari Natsuki,6.662,/aRs3dGqA2bCuGSZ7lJGhQKe8rhp.jpg,5,Yubaba / Zeniba (voice),52fe421bc3a36847f8004a9f,2
False,2,19590,Acting,Takashi Naito,Takashi Naito,4.103,/zfs63NZKNG3Uy6WqqXSQWYMQXKZ.jpg,6,Akio Ogino (voice),52fe421bc3a36847f8004aa3,3
False,1,19591,Acting,Yasuko Sawaguchi,Yasuko Sawaguchi,5.093,/rWspusb13VeJowmctnniXYYTcqq.jpg,7,Yuko Ogino (voice),52fe421bc3a36847f8004aa7,4
False,2,20334,Acting,Tsunehiko Kamijô,Tsunehiko Kamijô,2.219,/v2poQi0qYEWdTaMf2pVTWmcdwZp.jpg,27,Chichiyaku (voice),52fe421bc3a36847f8004b0f,5
False,2,544088,Acting,Takehiko Ono,Takehiko Ono,2.525,/8gcT8znk0l3YVZKvL7eVxYublTl.jpg,28,Aniyaku (voice),52fe421bc3a36847f8004b13,6
False,2,1936,Acting,Martin Balsam,Martin Balsam,9.013,/2j4LJJfTPQtvnjp8LfSGOvWFATO.jpg,57,Juror 1,5e93b065cedac40016ebbd44,0
False,2,5247,Acting,John Fiedler,John Fiedler,7.562,/6vfLLGeGuO6Ko0VRnyhgE2v6RUu.jpg,58,Juror 2,5e93b09a8e87020013cd34eb,1
